country_name,country_code,year,gini_ratio,gdp_growth
Portugal,PRT,01/01/2002,..,0.76879572
Portugal,PRT,01/01/2003,38.7,-0.934205163
Portugal,PRT,01/01/2004,38.9,1.811583041
Portugal,PRT,01/01/2005,38.5,0.766784435
Portugal,PRT,01/01/2006,38.1,1.553053838
Portugal,PRT,01/01/2007,36.7,2.492002446
Portugal,PRT,01/01/2008,36.6,0.199272249
Portugal,PRT,01/01/2009,34.9,-2.9781048
Portugal,PRT,01/01/2010,35.8,1.898691176
Portugal,PRT,01/01/2011,36.3,-1.826852351
Portugal,PRT,01/01/2012,36,-4.028256748
Portugal,PRT,01/01/2013,36.2,-1.130155823
Portugal,PRT,01/01/2014,35.6,0.893187725
Portugal,PRT,01/01/2015,35.5,1.822066826
Portugal,PRT,01/01/2016,..,1.619414633
Slovak Republic,SVK,01/01/2002,..,4.522792238
Slovak Republic,SVK,01/01/2003,..,5.418715934
Slovak Republic,SVK,01/01/2004,27.1,5.258836403
Slovak Republic,SVK,01/01/2005,29.3,6.750960834
Slovak Republic,SVK,01/01/2006,25.8,8.452887748
Slovak Republic,SVK,01/01/2007,24.7,10.79957705
Slovak Republic,SVK,01/01/2008,26,5.629779025
Slovak Republic,SVK,01/01/2009,27.2,-5.422542313
Slovak Republic,SVK,01/01/2010,27.3,5.041716665
Slovak Republic,SVK,01/01/2011,26.5,2.819099518
Slovak Republic,SVK,01/01/2012,26.1,1.657148687
Slovak Republic,SVK,01/01/2013,28.1,1.490646438
Slovak Republic,SVK,01/01/2014,26.1,2.750335017
Slovak Republic,SVK,01/01/2015,26.5,3.850100604
Slovak Republic,SVK,01/01/2016,..,3.324695296
Slovenia,SVN,01/01/2002,..,3.836305277
Slovenia,SVN,01/01/2003,..,2.842083009
Slovenia,SVN,01/01/2004,24.8,4.351795539
Slovenia,SVN,01/01/2005,24.6,4.003007364
Slovenia,SVN,01/01/2006,24.4,5.655999211
Slovenia,SVN,01/01/2007,24.4,6.941645669
Slovenia,SVN,01/01/2008,23.7,3.300130299
Slovenia,SVN,01/01/2009,24.8,-7.797276576
Slovenia,SVN,01/01/2010,24.9,1.237755909
Slovenia,SVN,01/01/2011,24.9,0.649366928
Slovenia,SVN,01/01/2012,25.6,-2.669582052
