country;iso3;region;date;gdp_pc;rol_index;pop;epi
United Arab Emirates;ARE;Asia;01/01/2020;66590.4;0.65;9287289;55.6
Ukraine;UKR;Europe;01/01/2020;17285.9;0.51;44207754;49.5
Uganda;UGA;Africa;01/01/2020;2681.18;0.4;44404611;35.6
Turkiye;TUR;Asia;01/01/2020;28649.56;0.43;83384680;42.6
Tunisia;TUN;Africa;01/01/2020;11720.5;0.54;12161723;46.7
Thailand;THA;Asia;01/01/2020;20002.85;0.51;71475664;45.4
Tanzania;TZA;Africa;01/01/2020;3408.91;0.47;61704518;31.1
Sweden;SWE;Europe;01/01/2020;60064.63;0.86;10353442;78.7
Sri Lanka;LKA;Asia;01/01/2020;13886.65;0.52;21919000;39
Spain;ESP;Europe;01/01/2020;41038.98;0.73;47365655;74.3
South Africa;ZAF;Africa;01/01/2020;13671.83;0.59;58801927;43.1
Slovenia;SVN;Europe;01/01/2020;43082.26;0.69;2102419;72
Singapore;SGP;Asia;01/01/2020;115304.15;0.79;5685807;58.1
Sierra Leone;SLE;Africa;01/01/2020;1595.31;0.45;8233970;25.7
Senegal;SEN;Africa;01/01/2020;4104.36;0.55;16436120;30.7
Russian Federation;RUS;Europe;01/01/2020;36746.38;0.47;145245148;50.5
Romania;ROU;Europe;01/01/2020;35651.63;0.63;19265250;64.7
Portugal;PRT;Europe;01/01/2020;36909.24;0.7;10297081;67
Poland;POL;Europe;01/01/2020;37686.89;0.66;37899070;60.9
Philippines;PHL;Asia;01/01/2020;8446.92;0.47;112190977;38.4
Peru;PER;Americas;01/01/2020;13421.49;0.5;33304756;44
Panama;PAN;Americas;01/01/2020;27025.32;0.52;4294396;47.3
Pakistan;PAK;Asia;01/01/2020;5311.42;0.39;227196741;33.1
Norway;NOR;Europe;01/01/2020;86313.75;0.89;5379475;77.7
North Macedonia;MKD;Europe;01/01/2020;21186.71;0.53;1856124;55.4
Nigeria;NGA;Africa;01/01/2020;5557.92;0.43;208327405;31
Nicaragua;NIC;Americas;01/01/2020;6318.27;0.39;6755895;39.2
New Zealand;NZL;Oceania;01/01/2020;46289.39;0.83;5090200;71.3
Netherlands;NLD;Europe;01/01/2020;64080.83;0.84;17441500;75.3
Nepal;NPL;Asia;01/01/2020;4355.1;0.53;29348627;32.7
Morocco;MAR;Africa;01/01/2020;8028.88;0.5;36688772;42.3
Mongolia;MNG;Asia;01/01/2020;14949.02;0.53;3294335;32.2
Moldova;MDA;Europe;01/01/2020;13559.26;0.5;2635130;44.4
Mexico;MEX;Americas;01/01/2020;20097.05;0.44;125998302;52.6
Malaysia;MYS;Asia;01/01/2020;29815.85;0.58;33199993;47.9
Malawi;MWI;Africa;01/01/2020;1727.05;0.52;19377061;38.3
Madagascar;MDG;Africa;01/01/2020;1591.15;0.44;28225177;26.5
Liberia;LBR;Africa;01/01/2020;1515.59;0.45;5087584;22.6
Lebanon;LBN;Asia;01/01/2020;12594.62;0.45;5662923;45.4
Kyrgyz Republic;KGZ;Asia;01/01/2020;5661.26;0.48;6579900;39.8
Kenya;KEN;Africa;01/01/2020;5079.93;0.45;51985780;34.7
Kazakhstan;KAZ;Asia;01/01/2020;33251.43;0.52;18755666;44.7
Jordan;JOR;Asia;01/01/2020;8970.22;0.57;10928721;53.4
Japan;JPN;Asia;01/01/2020;43238.3;0.78;126261000;75.1
Jamaica;JAM;Americas;01/01/2020;9211.85;0.57;2820436;48.2
Italy;ITA;Europe;01/01/2020;45835.91;0.66;59438851;71
Indonesia;IDN;Asia;01/01/2020;12523.29;0.53;271857970;37.8
India;IND;Asia;01/01/2020;7432.55;0.51;1396387127;27.6
Hungary;HUN;Europe;01/01/2020;35949.92;0.53;9750149;63.7
Guatemala;GTM;Americas;01/01/2020;11376.57;0.45;16858333;31.8
Greece;GRC;Europe;01/01/2020;30096.82;0.61;10698599;69.1
Ghana;GHA;Africa;01/01/2020;6354.38;0.57;32180401;27.6
Germany;DEU;Europe;01/01/2020;60065.51;0.84;83160871;77.2
Georgia;GEO;Asia;01/01/2020;17031.14;0.6;3722716;41.3
France;FRA;Europe;01/01/2020;50724.49;0.73;67571107;80
Finland;FIN;Europe;01/01/2020;56310.62;0.87;5529543;78.9
Ethiopia;ETH;Africa;01/01/2020;2553.63;0.41;117190911;34.4
Estonia;EST;Europe;01/01/2020;41677.98;0.81;1329522;65.3
El Salvador;SLV;Americas;01/01/2020;9603.02;0.49;6292731;43.1
Ecuador;ECU;Americas;01/01/2020;12394.97;0.49;17588595;51
Dominican Republic;DOM;Americas;01/01/2020;19736.8;0.48;10999664;46.3
Denmark;DNK;Europe;01/01/2020;65686.53;0.9;5831404;82.5
Czechia;CZE;Europe;01/01/2020;45917.29;0.73;10697858;71
Croatia;HRV;Europe;01/01/2020;31564.45;0.61;4047680;63.1
Cote d'Ivoire;CIV;Africa;01/01/2020;6241.93;0.46;26811790;25.8
