country,iso3,region,date, gdp_pc , rol_index , pop 
Peru,PER,Americas,20160101, 14,792 , 0.5174 , 31,132,779 
Panama,PAN,Americas,20160101, 30,962 , 0.5259 , 4,026,336 
Pakistan,PAK,Asia,20160101, 5,038 , 0.3871 , 213,524,840 
Norway,NOR,Europe,20160101, 86,005 , 0.8841 , 5,234,519 
North Macedonia,MKD,Europe,20160101, 20,029 , 0.5476 , 1,906,313 
Nigeria,NGA,Africa,20160101, 5,951 , 0.4439 , 188,666,931 
Nicaragua,NIC,Americas,20160101, 6,926 , 0.4245 , 6,389,235 
New Zealand,NZL,Oceania,20160101, 45,823 , 0.8328 , 4,714,100 
Netherlands,NLD,Europe,20160101, 63,576 , 0.8602 , 17,030,314 
Nepal,NPL,Asia,20160101, 3,756 , 0.5227 , 27,861,186 
Myanmar,MMR,Asia,20160101, 5,538 , 0.4367 , 51,892,349 
Morocco,MAR,Africa,20160101, 8,120 , 0.5279 , 35,107,264 
Mongolia,MNG,Asia,20160101, 14,170 , 0.5416 , 3,029,555 
Moldova,MDA,Europe,20160101, 12,377 , 0.4969 , 2,803,186 
Mexico,MEX,Americas,20160101, 22,008 , 0.4625 , 121,519,221 
Malaysia,MYS,Asia,20160101, 28,671 , 0.5424 , 31,526,418 
Malawi,MWI,Africa,20160101, 1,666 , 0.5102 , 17,405,624 
Madagascar,MDG,Africa,20160101, 1,693 , 0.4555 , 25,501,941 
Liberia,LBR,Africa,20160101, 1,671 , 0.4520 , 4,706,097 
Lebanon,LBN,Asia,20160101, 15,733 , 0.4624 , 6,258,619 
Kyrgyz Republic,KGZ,Asia,20160101, 5,805 , 0.4723 , 6,079,500 
Kenya,KEN,Africa,20160101, 4,795 , 0.4347 , 47,894,670 
Kazakhstan,KAZ,Asia,20160101, 31,743 , 0.5073 , 17,794,055 
Jordan,JOR,Asia,20160101, 9,361 , 0.5889 , 9,964,656 
Japan,JPN,Asia,20160101, 43,976 , 0.7816 , 127,076,000 
Jamaica,JAM,Americas,20160101, 9,912 , 0.5781 , 2,802,695 
Italy,ITA,Europe,20160101, 47,881 , 0.6503 , 60,627,498 
Indonesia,IDN,Asia,20160101, 11,440 , 0.5215 , 261,850,182 
India,IND,Asia,20160101, 6,968 , 0.5151 , 1,338,636,340 
Hungary,HUN,Europe,20160101, 32,458 , 0.5716 , 9,814,023 
Honduras,HND,Americas,20160101, 5,896 , 0.4210 , 9,460,798 
Guyana,GUY,Americas,20160101, 12,499 , 0.4968 , 759,087 
Guatemala,GTM,Americas,20160101, 11,128 , 0.4438 , 15,827,690 
Grenada,GRD,Americas,20160101, 15,020 , 0.6592 , 119,966 
Greece,GRC,Europe,20160101, 31,468 , 0.6073 , 10,775,971 
Ghana,GHA,Africa,20160101, 5,628 , 0.5786 , 29,554,303 
